# Soundtracks without matched cover art (248)
# Format: region | title | NSF path
# Add or identify a cover, then use the same lowercase kebab-case filename stem.

Famicom | Pocket Zaurus Juohken no Nazo | NES-Gamemusic/Famicom/Bandai/Pocket_Zaurus_Juohken_no_Nazo.nsf
Famicom | Pooyan | NES-Gamemusic/Famicom/Hudson_Soft/Pooyan.nsf
Famicom | Quarth | NES-Gamemusic/Famicom/Konami/Quarth.nsf
Famicom | Radia Senki | NES-Gamemusic/Famicom/Tecmo/Radia_Senki.nsf
Famicom | Recca | NES-Gamemusic/Famicom/Naxat_Soft/Recca.nsf
Famicom | Relics Ankoku Yousai | NES-Gamemusic/Famicom/Bothtec/Relics_Ankoku_Yousai.nsf
Famicom | Risa no Yousei Densetsu | NES-Gamemusic/Famicom/Konami/Risa_no_Yousei_Densetsu.nsf
Famicom | Robokko Wars | NES-Gamemusic/Famicom/IGS/Robokko_Wars.nsf
Famicom | RockBoard | NES-Gamemusic/Famicom/Capcom/RockBoard.nsf
Famicom | Rodland | NES-Gamemusic/Famicom/Jaleco/Rodland.nsf
Famicom | Romancia | NES-Gamemusic/Famicom/Tokyo_Shoseki/Romancia.nsf
Famicom | Sangokushi 2 | NES-Gamemusic/Famicom/Namco/Sangokushi_2.nsf
Famicom | Sanma no Meitantei | NES-Gamemusic/Famicom/Namco/Sanma_no_Meitantei.nsf
Famicom | SD Gundam Gachapon Senshi 4 | NES-Gamemusic/Famicom/Yutaka/SD_Gundam_Gachapon_Senshi_4.nsf
Famicom | SD Keiji Blader | NES-Gamemusic/Famicom/Taito/SD_Keiji_Blader.nsf
Famicom | Shancara | NES-Gamemusic/Famicom/IGS/Shancara.nsf
Famicom | Shanghai | NES-Gamemusic/Famicom/Sunsoft/Shanghai.nsf
Famicom | Shanghai 2 | NES-Gamemusic/Famicom/Sunsoft/Shanghai_2.nsf
Famicom | Shikinjou | NES-Gamemusic/Famicom/Toei_Animation/Shikinjou.nsf
Famicom | Shin Onigashima | NES-Gamemusic/Famicom/Nintendo/Shin_Onigashima.nsf
Famicom | Shinjuku Chuokoen Satsujinjiken | NES-Gamemusic/Famicom/Data_East/Shinjuku_Chuokoen_Satsujinjiken.nsf
Famicom | Shoukoushi  Ceddie | NES-Gamemusic/Famicom/Fuji_TV/Shoukoushi _Ceddie.nsf
Famicom | Silva Saga | NES-Gamemusic/Famicom/Seta/Silva_Saga.nsf
Famicom | Skykid | NES-Gamemusic/Famicom/Namco/Skykid.nsf
Famicom | Somari | NES-Gamemusic/Famicom/Misc/Somari.nsf
Famicom | Splatterhouse | NES-Gamemusic/Famicom/Namco/Splatterhouse.nsf
Famicom | Star Luster | NES-Gamemusic/Famicom/Namco/Star_Luster.nsf
Famicom | Sted | NES-Gamemusic/Famicom/KAC/Sted.nsf
Famicom | Super Star Force | NES-Gamemusic/Famicom/Tecmo/Super_Star_Force.nsf
Famicom | Super Xevious | NES-Gamemusic/Famicom/Namco/Super_Xevious.nsf
Famicom | Sweet Home | NES-Gamemusic/Famicom/Capcom/Sweet_Home.nsf
Famicom | Takeshi no Chousenjou | NES-Gamemusic/Famicom/Taito/Takeshi_no_Chousenjou.nsf
Famicom | Tecmo World Cup Soccer | NES-Gamemusic/Famicom/Tecmo/Tecmo_World_Cup_Soccer.nsf
Famicom | Tenchi o Kurau II | NES-Gamemusic/Famicom/Capcom/Tenchi_o_Kurau_II.nsf
Famicom | Tetris 2 and Bombliss | NES-Gamemusic/Famicom/BPS/Tetris_2_and_Bombliss.nsf
Famicom | Time Zone | NES-Gamemusic/Famicom/Sigma/Time_Zone.nsf
Famicom | Toki no Sugiyuku mama ni | NES-Gamemusic/Famicom/Data_East/Toki_no_Sugiyuku_mama_ni.nsf
Famicom | Top Striker | NES-Gamemusic/Famicom/Namco/Top_Striker.nsf
Famicom | Toukaidou 53 tsugi | NES-Gamemusic/Famicom/Sunsoft/Toukaidou_53_tsugi.nsf
Famicom | Toukon Club | NES-Gamemusic/Famicom/Jaleco/Toukon_Club.nsf
Famicom | Tower of Babel | NES-Gamemusic/Famicom/Namco/Tower_of_Babel.nsf
Famicom | Tower of Druaga | NES-Gamemusic/Famicom/Namco/Tower_of_Druaga.nsf
Famicom | Transformers Convoy no Nazo | NES-Gamemusic/Famicom/Takara/Transformers_Convoy_no_Nazo.nsf
Famicom | Uchuu Keibitai SDF | NES-Gamemusic/Famicom/Hal_Lab/Uchuu_Keibitai_SDF.nsf
Famicom | Ushio to Tora | NES-Gamemusic/Famicom/Yutaka/Ushio_to_Tora.nsf
Famicom | Valkyrie No Bouken | NES-Gamemusic/Famicom/Namco/Valkyrie_No_Bouken.nsf
Famicom | Venus Senki | NES-Gamemusic/Famicom/Varie/Venus_Senki.nsf
Famicom | Volgard II | NES-Gamemusic/Famicom/db_Soft/Volgard_II.nsf
Famicom | Vs Excitebike FDS | NES-Gamemusic/Famicom/Nintendo/Vs_Excitebike_FDS.nsf
Famicom | Wagyan Land | NES-Gamemusic/Famicom/Namco/Wagyan_Land.nsf
Famicom | Wagyan Land 2 | NES-Gamemusic/Famicom/Namco/Wagyan_Land_2.nsf
Famicom | Wagyan Land 3 | NES-Gamemusic/Famicom/Namco/Wagyan_Land_3.nsf
Famicom | Wai Wai World | NES-Gamemusic/Famicom/Konami/Wai_Wai_World.nsf
Famicom | Wai Wai World 2 | NES-Gamemusic/Famicom/Konami/Wai_Wai_World_2.nsf
Famicom | Wing of Madoola | NES-Gamemusic/Famicom/Sunsoft/Wing_of_Madoola.nsf
Famicom | Wizardry 3 | NES-Gamemusic/Famicom/Ascii/Wizardry_3.nsf
Famicom | Yie Ar Kung Fu | NES-Gamemusic/Famicom/Konami/Yie_Ar_Kung_Fu.nsf
Famicom | Yokohamako Renzokusatsujinjiken | NES-Gamemusic/Famicom/Data_East/Yokohamako_Renzokusatsujinjiken.nsf
Famicom | Youkai Douchuuki | NES-Gamemusic/Famicom/Namco/Youkai_Douchuuki.nsf
Famicom | Ys | NES-Gamemusic/Famicom/Victor/Ys.nsf
Famicom | Ys II | NES-Gamemusic/Famicom/Victor/Ys_II.nsf
Famicom | Ys III | NES-Gamemusic/Famicom/Victor/Ys_III.nsf
Famicom | Yume Penguin Monogatari | NES-Gamemusic/Famicom/Konami/Yume_Penguin_Monogatari.nsf
Famicom | Yuu Maze | NES-Gamemusic/Famicom/Taito/Yuu_Maze.nsf
Famicom | Yuuyuuki | NES-Gamemusic/Famicom/Nintendo/Yuuyuuki.nsf
Famicom | Zelda no Densetsu | NES-Gamemusic/Famicom/Nintendo/Zelda_no_Densetsu.nsf
Famicom | Zeta Gundam Hot Scramble | NES-Gamemusic/Famicom/Bandai/Zeta_Gundam_Hot_Scramble.nsf
Famicom | Zombie Hunter | NES-Gamemusic/Famicom/High_Score/Zombie_Hunter.nsf
Nintendo | Alloy Run Mix | NES-Gamemusic/Nintendo/Scene_Demos/Alloy_Run_Mix.nsf
Nintendo | Asterix | NES-Gamemusic/Nintendo/Infogrames/Asterix.nsf
